F48 B890 B798 B553 B333 B947 , 1, 1
F20 B853 B444 B942 B672 , 10, 11
F20 B672 B985 B349 , 10, 13
F58 B994 B266 B394 B517 B583 B497 B713 , 25, 1775
F28 B746 B299 B552 , 13, 607
F47 B194 B456 B846 B436 B378 B334 B148 , 22, 53
F77 B820 B952 B712 , 27, 58
F28 B656 B742 B818 B913 B871 , 13, 41
F29 B729 B848 B122 B963 B993 B784 , 11, 25
F23 B908 B655 , 1544, 1805
F13 B249 B303 , 23, 23
F24 B396 B831 B380 , 19, 19
F74 B410 B578 B767 B414 B187 B315 B101 B586 B696 , 292, 525
F60 B163 B842 B649 B357 B907 , 1, 1941
F20 B44 B330 B769 B784 B150 B154 B602 B569 , 1, 52
F90 B346 B300 B659 , 13, 594
F74 B410 B88 B326 B344 B391 , 6, 351
F45 B835 B744 , 34, 35
F18 B202 B935 B540 B985 , 11, 23
F25 B608 B441 B36 , 18, 36
F62 B946 B602 , 9, 10
F5 B263 B251 B609 B963 B848 , 8, 25
F74 B29 B851 B935 , 6, 6
F29 B848 B122 B963 B993 , 11, 23
F20 B42 B781 B95 B485 , 9, 37
F29 B369 B153 , 11, 23
F20 B255 B44 B330 , 1, 1634
F26 B211 B712 , 10, 11
F48 B291 B377 B458 B411 , 1, 23
F20 B267 B749 B42 B781 B95 B485 B808 , 9, 636
F62 B37 B252 B93 , 10, 20
F34 B275 B718 , 14, 14
F5 B451 B149 B136 B270 B354 B793 , 8, 28
F60 B649 B357 B907 , 1, 40
F55 B826 B938 B40 , 43, 1829
F74 B578 B767 B414 B187 , 292, 417
F20 B726 B763 , 571, 649
F93 B547 B564 B628 B274 , 44, 1966
F5 B589 B669 B388 B793 B89 B34 , 8, 35
F93 B628 B274 B37 , 44, 45
F75 B209 B622 B553 , 31, 31
F74 B68 B767 , 7, 333
F26 B550 B325 B78 B679 B225 , 10, 11
F64 B211 B933 B539 B818 B127 B477 B490 B425 , 11, 646
F62 B820 B793 B454 , 9, 11
F58 B191 B875 B826 B526 B335 , 1, 3
F45 B691 B859 B832 B358 B841 B221 , 34, 1836
F31 B736 B272 B625 , 1190, 1295
F48 B113 B53 B349 , 10, 624
F14 B953 B588 B615 B927 , 571, 837
F34 B123 B285 B214 B149 B425 , 1148, 1288
F64 B334 B959 B850 , 571, 706
F18 B916 B504 B34 B547 B173 , 11, 14
F5 B364 B668 B263 , 1, 30
F47 B761 B304 B700 B815 , 21, 45
F23 B201 B33 , 33, 34
F74 B391 B940 B692 B736 B132 , 6, 27
F97 B167 B460 B57 , 15, 571
F5 B137 B501 B995 , 480, 589
F58 B857 B470 B518 B968 , 1, 33
F77 B320 B850 B409 B727 B469 , 1612, 2152
F47 B158 B132 B572 , 22, 46
F48 B24 B1000 B341 B841 , 10, 10
F14 B714 B615 , 16, 637
F58 B517 B583 B497 B713 B641 , 25, 31
F62 B210 B848 B771 B497 B241 , 9, 38
F42 B437 B78 B255 B707 B966 , 42, 1866
F62 B853 B37 B252 B93 , 10, 20
F6 B935 B485 , 480, 593
F29 B437 B135 , 12, 12
F87 B512 B141 , 8, 275
F29 B111 B286 B369 B153 B662 , 11, 597
F77 B504 B743 , 27, 28
F62 B367 B728 B994 B842 B726 B650 , 9, 19
F24 B602 B198 B396 B831 B380 B6 B170 , 19, 1027
F48 B113 B120 B205 B890 , 1, 274
F64 B673 B687 B761 B658 , 10, 11
F96 B982 B101 B69 , 1607, 2096
F23 B525 B928 , 33, 1740
F74 B88 B326 B344 B391 B940 B692 B736 B132 , 6, 40
F93 B547 B784 B681 B83 B154 , 43, 1966
F47 B314 B797 , 1600, 1775
F48 B411 B803 , 1, 2
F24 B602 B198 B396 B831 B380 B6 , 19, 1027
F13 B741 B190 , 22, 4275
F10 B791 B991 , 37, 38
F6 B729 B935 , 480, 592
F20 B317 B809 , 9, 31
F47 B243 B122 , 22, 24
F80 B768 B115 B884 B917 , 571, 794
F45 B512 B845 B91 , 1664, 2100
F87 B604 B773 , 8, 8
F77 B675 B503 , 27, 29
F37 B680 B181 B928 B205 B185 B51 , 1064, 1400
F20 B763 B137 B519 B824 , 1, 611
F58 B994 B266 B394 B517 B583 , 25, 1771
F2 B381 B635 B77 , 26, 1823
F16 B100 B10 B584 B613 , 1, 42
F97 B53 B996 B956 , 15, 32
F97 B600 B639 , 15, 16
F82 B142 B794 B430 , 12, 15
F64 B959 B850 B738 B549 B997 , 571, 779
F23 B996 B254 B872 B706 , 33, 36
F10 B207 B545 B81 , 1825, 2303
F77 B864 B20 , 27, 29
F62 B292 B853 B37 B252 B93 B443 , 10, 22
F47 B135 B427 B366 , 1, 27
F58 B198 B542 B115 B630 B137 , 25, 30
F26 B686 B211 B712 B345 B142 , 10, 22
F96 B602 B424 B786 B988 , 41, 1813
F16 B437 B615 , 16, 603
F75 B622 B553 , 31, 31
F16 B244 B10 , 16, 17
F62 B887 B506 B592 B292 B853 B37 , 10, 628
F25 B646 B689 B895 B680 B654 B814 , 18, 36
F74 B88 B326 B344 B391 B940 , 6, 25
F48 B579 B693 , 11, 22
F64 B673 B687 B761 B658 B465 , 10, 14
F27 B869 B39 , 30, 30
F34 B301 B275 B718 B640 B757 , 14, 14
F5 B177 B996 B616 B164 B566 B381 B16 , 8, 12
F29 B111 B286 , 11, 585
F64 B553 B131 B734 , 1, 2
F39 B315 B8 B402 , 28, 28
F87 B555 B313 , 8, 8
F48 B53 B349 B734 , 10, 21
F74 B638 B345 B29 B851 B935 , 6, 13
F18 B980 B202 B935 , 11, 11
F47 B427 B366 B290 , 1, 25
F48 B411 B803 B3 B257 , 1, 14
F90 B370 B273 , 1, 36
F74 B527 B207 B49 , 1, 6
F97 B221 B600 B639 B32 , 15, 17
F62 B976 B107 B632 B11 B723 B514 B680 B388 B448 , 1, 621
F24 B831 B380 , 19, 19
F18 B529 B300 B986 B844 B385 B636 B561 , 10, 555
F82 B142 B794 , 12, 15
F39 B601 B315 B8 , 28, 1176
F74 B326 B344 B391 B940 , 6, 25
F42 B625 B504 B802 B242 , 41, 43
F58 B885 B133 , 1664, 1892
F20 B92 B60 B560 B578 , 9, 28
F82 B396 B513 B332 B281 B107 B753 , 12, 38
F64 B841 B653 B715 , 10, 12
F20 B44 B330 B769 B784 B150 B154 B602 , 1, 51
F20 B784 B150 B154 , 1, 27
F25 B470 B544 B646 B689 , 18, 548
F29 B610 B984 , 540, 630
F5 B566 B381 B16 , 8, 11
F58 B550 B117 B887 B227 B549 B833 , 25, 104
F80 B710 B142 B602 B97 , 14, 14
F64 B211 B765 B712 B106 B841 B653 , 10, 615
F29 B906 B610 , 540, 630
F13 B746 B826 B992 , 4230, 4388
F37 B948 B331 , 28, 28
F29 B111 B261 B869 B405 , 11, 587
F74 B187 B315 B101 B586 , 292, 408
F5 B164 B566 B381 , 8, 10
F62 B976 B430 B96 , 571, 683
F27 B706 B608 , 803, 923
F58 B994 B704 B938 B308 B135 B709 , 1, 1794
F16 B100 B10 , 1, 41
F82 B529 B113 B309 B655 B381 , 571, 812
F29 B111 B261 , 11, 586
F74 B401 B887 , 7, 7
F5 B961 B834 B589 B669 B388 , 8, 530
F5 B589 B669 B388 , 8, 18
F96 B602 B235 B818 B482 B706 , 41, 1772
F23 B525 B120 B878 B2 B139 , 32, 1748
F34 B886 B536 B834 B16 B970 B633 , 14, 28
F25 B83 B429 B608 B441 B36 , 18, 36
F60 B528 B154 , 37, 38
F24 B488 B936 B17 B671 B963 , 988, 1183
